,symbol
0,ALLL11
1,AMBV4
2,ARCZ6
3,ARCE3
4,BBDC4
5,BRAP4
6,BBAS3
7,BRTP3
8,BRTP4
9,BRTO4
10,BRKM5
11,CCRO3
12,CLSC6
13,CMIG4
14,CESP6
15,CPLE6
16,CSAN3
17,CPFE3
18,CYRE3
19,DURA4
20,ELET3
21,ELET6
22,EMBR3
23,GGBR4
24,GOAU4
25,GOLL4
26,PTIP4
27,ITSA4
28,ITAU4
29,KLBN4
30,LIGT3
31,LAME4
32,LREN3
33,NATU3
34,NETC4
35,PCAR4
36,PRGA3
37,PETR3
38,PETR4
39,RSID3
40,SBSP3
41,SDIA4
42,CSNA3
43,CRUZ3
44,SUBA3
45,TAMM4
46,VCPA4
47,TNLP3
48,TNLP4
49,TMAR5
50,TCSL3
51,TCSL4
52,UBBR11
53,USIM5
54,VALE3
55,VALE5
56,VIVO4
